Positive,pos_chi
MAGNETIC,磁的
MAGNIFICENCE,壯麗
MAGNIFICENT,華麗的
MAIN#1,主＃1
MAJESTIC,雄偉
MAJESTY,威嚴
MAJOR#1,主要＃1
MAKE#6,製作＃6.
MAKE#7,製作＃7.
MANAGEABLE,可管理
MANLY,man
MARITAL,婚姻
MARRIAGE,婚姻
MARRY#1,結婚＃1
MARRY#2,結婚＃2
MARVEL,奇蹟
MARVELOUS,奇妙
MASTERFUL,大師
MASTERY,掌握
MATCHLESS,無比
MATE#1,夥伴＃1
MATE#2,夥伴＃2
MATTER#4,物質＃4
MATURE#1,成熟＃1
MATURE#2,成熟＃2
MATURE#3,成熟＃3
MATURITY,到期
MAXIMIZE,最大化
MEANINGFUL,有意義的
MEASURABLE,可衡量的
MEDIATE,調解
MEDITATION,冥想
MEET#5,見＃5.
MELLOW,醇厚
MELODY,旋律
MEMORABLE,難忘
MEND,修補
MENTOR,導師
MERCIFUL,仁慈
MERCY,憐憫
MERIT#1,Merit＃1
MERIT#2,Merit＃2
MERITORIOUS,勳
MERRILY,merrily.
MERRIMENT,歡樂
MERRY,mer
MESH,網
METICULOUS,細緻
MIGHTY,強大
MILD,溫和的
MIND#_10,心靈＃_10
MINDFUL,忠心
MINISTER#4,部長＃4
MINT,薄荷
MIRACLE,奇蹟
MIRACULOUS,神奇
MIRTH,歡笑
MOBILITY,移動性
MOBILIZE,動員
MODERATE,緩和
MODERATION,適度
MODERNITY,現代性
MODEST,謙虛
MODESTY,謙虛
MOMENTOUS,moment
MONUMENTAL,紀念碑
MORAL,道德
MORALE,士氣
MORALISTIC,道德語
MORALITY,道德
MOTIVATE,激勵
MOTIVATED,動機
MOTIVATION,動機
MOTIVE,動機
MULTITUDE,苠
MUTUAL#1,相互＃1
MUTUAL#2,相互互動＃2
MYRIAD,無數
NATURAL#1,自然＃1
NATURAL#2,自然＃2
NAVIGABLE,可導航的
NEAT,整潔的
NECESSARILY,一定
NEGOTIATE,談判
NICE#1,漂亮＃1
NICE#2,漂亮＃2
NICE#3,漂亮＃3
NICE#4,漂亮＃4
NICHE,利基
NIMBLE,敏捷
NOBILITY,貴族
NOBLE,高貴
NOBLEMAN,貴族
NOISELESS,無聲
NOMINATE,提名
NON-VIOLENCE,非暴力
NON-VIOLENT,非暴力
NORMAL,普通的
NOTABLE,值得注意的
NOTORIETY,諾奇
NOURISH,滋養
NOURISHMENT,營養
NOVELTY,新奇
NURSE#2,護士＃2
NURTURE,培育
NUTRIENT,養分
OASIS,綠洲
OBEDIENCE,服從
OBEDIENT,聽話
OBEY,遵守
OBJECTIVE#2,目標＃2
OBJECTIVE#3,目標＃3
OBLIGE,義務
OBTAIN,獲得
OBTAINABLE,可獲得
OFFER#1,提供＃1
OFFER#2,提供＃2
OFFER#3,提供＃3
OFFSET,抵消
ONSET,發病
ONWARD,向前
OPEN#1,開放的
OPEN#2,開幕
OPPORTUNE,合適的
OPPORTUNITY,機會
OPTIMAL,最佳
OPTIMISM,樂觀
OPTIMISTIC,樂觀的
OPTIONAL,可選的
ORDER#2,訂單＃2
ORDER#5,訂單＃5
ORDER#6,訂單＃6.
ORGANIZE#1,組織＃1
ORGANIZE#2,組織＃2
ORIGINALITY,獨創性
OUTGOING,out
OUTLIVE,勝負
OUTRIGHT,直接
OUTRUN,外星
OUTSET,一開始
OUTSTANDING,傑出的
OUTWIT,智勝
OVERCOME,克服
OVERJOYED,過度的
PAINSTAKING,艱苦的
PALATABLE,可口
PALATIAL,paltal.
PAMPER,p
PARADISE,天堂
PARAMOUNT,傾向
PARDON#1,赦免＃1
PARDON#2,赦免＃2
PARTICULAR#1,特定＃1
PARTNER,夥伴
PARTNERSHIP,合夥
PASS#2,通過＃2
PASSIONATE,熱情的
PATIENCE,耐心
PATIENT#2,患者＃2
PATIENT#3,患者＃3
PATRIOT,愛國者
PATRIOTIC,愛國
PATRON,贊助人
PATRONAGE,惠顧
PEACE#1,和平＃1
PEACE#2,和平＃2
PEACEABLE,和平的
PEACEFUL,平靜的
PEERLESS,無情
PERFECT#1,完美的＃1
PERFECT#2,完美的＃2
PERFECT#3,完美的＃3
PERFECTION,完美
PERFECTIONISM,完美主義
PERFECTIONIST,完美主義者
PERFUME,香水
PERMISSION,允許
PERMIT#1,允許＃1
PERSEVERANCE,毅力
PERSEVERE,持久
PERSUASIVE,有說服力的
PERTINENT,切中
PICTURESQUE,如畫
PIETY,虔
PINNACLE,巔峰
PIOUS,虔誠
PLAIN#1,普通＃1
PLAIN#3,普通＃3.
PLAIN#4,普通＃4.
PLAIN#5,普通＃5
PLAUSIBILITY,合理性
PLAYFUL,俏皮
PLAYMATE,玩伴
PLAYTHING,玩物
PLEASANT#1,愉快的＃1
PLEASANT#2,愉快＃2
PLEASANTRY,玩笑
PLEASED#1,高興＃1
PLEASED#2,高興＃2
PLEASURABLE,愉快
PLEASURE,樂趣
PLEDGE,保證
PLENTIFUL,豐富
PLENTY,pl
POETIC,詩意
POIGNANT,po
POISE#1,Poise＃1
POLISH,拋光
POLITE,有禮貌的
POLITENESS,禮貌
POMP,澤
POPULAR,受歡迎的
POPULARITY,人氣
POPULOUS,人口眾多
PORTABLE,便攜的
POSITIVE,積極的
POSITIVENESS,積極性
POSITIVITY,積極性
POSTERITY,後人
POTENCY,效力
POTENT,有效
PRACTICABLE,可行的
PRACTICAL#1,實用＃1
PRAISE#1,讚美＃1
PRAISE#2,讚美＃2
PRANCE,pr
PRECAUTION,預防
PRECEDENT,先例
PRECEPT,remept.
PRECIOUS,寶貴的
PRECISE,精確的
PRECISION,精確
PREEMINENT,卓越
PREFERENCE,偏愛
PREMIER,總理
PREMISE,前提
PREMIUM,優質的
PREPARATORY,預備
PRESTIGE,聲望
PRETTILY,pr
PRETTY#2,漂亮＃2
PRETTY#3,漂亮＃3
PRETTY#4,漂亮＃4
PRETTY#5,漂亮＃5
PRICELESS,無價
PRIDE,自豪
PRIMARILY,主要是
PRIME,主要的
PRINCIPAL#1,校長＃1
PRINCIPLE#1,原則＃1
PRINCIPLE#2,原則＃1
PRINCIPLE#4,原則＃1
PRIVACY,原則＃1
PRIVILEGED,原則＃1
PRIVY,原則＃1
PRIZE,原則＃1
PRO,原則＃1
PROACTIVE,原則＃1
PRODIGIOUS,原則＃1
PRODIGY,神童
PRODUCTIVE,富有成效
PRODUCTIVITY,生產率
PROFESS,宣稱
PROFFER,FERFER.
PROFICIENT,精通
PROFIT#1,利潤＃1
PROFIT#2,利潤＃2
PROFITABLE,有利可圖
PROFOUND,深刻的
PROGRESS#1,進展＃1
PROGRESS#2,進展＃2
PROGRESSIVE,進步
PROLIFIC,PROLIFIC
PROMINENCE,突出
PROMINENT,突出
PROMISE#3,承諾＃3
PROMISE#4,承諾＃4
PROMPT#1,提示＃1
PROMPT#2,提示＃2
PROMPTLY,及時
PROPER,恰當的
PROPITIOUS,吉祥
PROPRIETARY,所有權
PROPRIETY,禮
PROSECUTE,起訴
PROSPER,繁榮
PROSPERITY,繁榮
PROSPEROUS,繁榮
PROTECT,保護
PROTECTION,保護
PROTECTIVE,保護的
PROTECTOR,保護者
PROUD,自豪的
PROVIDE#1,提供＃1
PROVIDENCE,普羅維登斯
PROWESS,Prowess.
PRUDENCE,謹慎
PRUDENT,謹慎
PUNCTUAL,準時
PURE,純的
PURIFICATION,純化
PURIFY,淨化
PURITY,純度
PURPOSEFUL,有目的的
PURR,pur
QUAINT,古蹟
QUALIFY#1,資格＃1
QUALIFY#3,資格＃3
QUALITY#2,質量＃2
QUENCH,淬火
QUICKEN,加速
RADIANCE,輻射
RADIANT,輻射
RADIATE,輻射
RALLY,集會
RAPPORT,融洽
RAPT,r
RAPTURE,饒
RATIONAL,合理的
RAVE,狂歡
READILY,容易
REAL#1,真正的＃1
REALISTIC,實際的
REALISTICALLY,現實地
REAP,收穫
REASONABLE,合理的
REASSURANCE,放心
REASSURE,保證
RECEPTIVE,接受
RECLAIM,回收
RECLINE,橫臥
RECOMPENSE,補償
RECONCILE,調和
RECONCILIATION,和解
RECREATION,娛樂
REDEEM,贖回
REDEMPTION,贖回
REESTABLISH,重建
REFINE,優化
REFINEMENT,細化
REFUGE,避難所
REGAL,富豪
REHABILITATION,復原
REINFORCEMENT,加強
REINSTATE,恢復
REJOICE,麾
RELAXATION,鬆弛
RELEVANCE,關聯
RELEVANCY,關聯
RELEVANT,相關的
RELIABILITY,可靠性
RELIABLE,可靠的
RELIEF,寬慰
RELIEVE#3,緩解＃3
RELIGIOUS#1,宗教＃1
RELISH,rel
REMARKABLE,卓越
REMARKABLY,值得注意的
REMEDY,補救
REMODEL,改造
RENAISSANCE,再生
RENEWAL,續約
RENOVATE,翻新
RENOVATION,翻新
RENOWN,名聲
REPAIR#1,修復＃1
REPAIR#2,修復＃2
REPARATION,賠償
REPENT,悔改
REPENTANCE,悔改
REPOSE,休息
REPUTABLE,rep
RESCUE#1,救援＃1
RESCUE#2,救援＃2
RESOLUTE,堅決
RESOLVE#1,解決＃1
RESOLVE#2,解決＃2
RESOLVED,解決
RESOUND,迴響
RESOURCEFUL,足智多謀
RESOURCEFULNESS,富裕
RESPECT#1,尊重＃1
RESPECT#2,尊重＃2
RESPECT#5,尊重＃5.
RESPECTABLE,可敬
RESPECTFUL,尊敬的
RESPITE,喘息
RESPLENDENT,燦爛
RESPONSIBILITY,責任
RESPONSIBLE#1,負責任＃1
RESPONSIVE,響應
RESTFUL,寧靜
RESTORATION,恢復
RESTORE,恢復
RESURRECT,復活
RETURN#2,返回＃2
RETURN#5,返回＃5.
REUNION,團圓
REUNITE,團聚
REVEL,陶醉
REVELATION,啟示
REVERE,尊敬
REVERENCE,尊敬
REVERENT,虔誠
REVERENTLY,虔誠地
REVITALIZE,振興
REVIVAL,復興
REVIVE,復活
REWARD#1,獎勵＃1
REWARD#2,獎勵＃2
REWARD#3,獎勵＃3
RICH#1,富人＃1
RICH#2,富人＃2
RICH#3,富人＃3
RICH#4,富人＃4
RICH#5,富人＃5
RICH#6,富人＃6
RICHES,富有
RICHNESS,豐富
RIGHT#1,右＃1
RIGHT#6,右＃6
RIGHTEOUS,正義
RIGHTEOUSNESS,義
RIGHTFUL,可愛的
RIPE,成熟
RIPEN,熟
ROBUST,強壯的
ROMANCE,浪漫
ROMANTIC,浪漫的
ROMANTICIZE,浪漫化
ROSY,紅潤
ROUND#4,圓＃4
ROUSE,喚醒
SACRED,神聖
SAFE#1,安全＃1
SAFE#2,安全＃2
SAFE#3,安全＃3
SAFE#4,安全＃4
SAFEGUARD,保障
SAFETY#2,安全＃2
SAGACITY,緣石
SAGE,智者
SAINT,聖
SALUTARY,賦予誹謗
SALUTATION,致敬
SALUTE,禮炮
SALVATION,救恩
SANCTIFY,Sanctify.
SANCTUARY,避難所
SANE,s
SANGUINE,樂觀
SANITARY,衛生
SANITY,理智
SATISFACTION,滿意
SATISFACTORILY,令人滿意的
SATISFACTORY,滿意的
SATISFY#1,滿足＃1
SATISFY#2,滿足＃2
SATISFY#3,滿足＃3.
SAVE#1,保存＃1
SAVINGS,儲蓄
SAVOR,品嚐
SAVVY,嫻熟
SCAMPER,疾走
SCRUPLES,顧忌
SCRUPULOUS,scr
SECURE#2,安全＃2
SECURE#3,安全＃3
SECURITY#1,安全＃1
SECURITY#2,安全＃2
SELECTIVE,可選擇的
SELF-CONTAINED,自給自足
SELF-RESPECT,自尊
SEMBLANCE,外表
SENSATIONAL,聳人聽聞
SENSE#3,感染＃3.
SENSE#5,感覺＃5.
SENSIBLE,懂事
SENSITIVE,敏感的
SENSITIVITY,靈敏度
SERENE,安詳
SERIOUS,嚴肅的
SERIOUSNESS,嚴肅
SETTLE#4,解決＃4
SHARE#1,分享＃1
SHARE#3,分享＃3
SHARE#4,分享＃4
SHELTER#1,避難所＃1
SHELTER#2,避難所＃2
SHIELD,盾
SHINY,閃亮的
SHREWD,精明
SHREWDNESS,城府
SIGNIFICANCE,意義
SIGNIFICANT,重大
SIGNIFY,表示
SIMPLICITY,簡單
SIMPLIFY#1,簡化＃1
SIMPLIFY#2,簡化＃2
SINCERE,真誠
SINCERITY,誠意
SKILL#1,技能＃1
SKILL#2,技能＃2
SKILLFUL,熟練
SLEEK,光滑
SMART#1,聰明的
SMART#2,聰明
SMART#4,智能＃4.
SMILE#1,微笑＃1
SMILE#2,微笑＃2
SMILE#3,微笑＃3
SMILE#4,微笑＃4
SMITTEN,幕後
SOBER,清醒
SOCIABLE,社交
SOFTNESS,柔軟
SOLACE,慰藉
SOLUTION,解決方案
SOOTHE,撫慰
SOPHISTICATED,複雜的
SOUGHT,尋求
SOUNDNESS,合理的
SPARE#2,備用＃2
SPARKLE,火花
SPECIAL,特別的
SPECTACULAR,壯觀
SPEEDILY,趕快
SPLENDID,燦爛
SPLENDOR,輝
SPOTLESS,一塵不染
SPRIGHTLY,女士
SQUARELY,正好
STABILITY,穩定
STABILIZE,穩定
STABLE,穩定的
STANDARDIZE,標準化
STAPLE,st
STATELY,莊嚴
STATUESQUE,stequesque
STAUNCH,堅定
STAUNCHNESS,堅定不移
STEADFAST,堅定不移
STEADFASTNESS,堅定不移
STEADINESS,穩定
STEADY,穩定的
STIMULATE,刺激
STIMULATION,刺激
STRAIGHT#3,直＃3
STRAIGHTFORWARD,直截了當
STRUT,支撐
STUD,螺柱
STUDIOUS,算像
STUPENDOUS,stup
STURDY,結實的
STYLISH,時髦的
SUAVE,蘇娃
SUBLIME,昇華
SUBSCRIBE,訂閱
SUBSCRIPTION,訂閱
SUBSIDIZE,資助
SUBSIDY,補貼
SUBSIST,生存
SUBSISTENCE,自住
SUBSTANTIATE,證實
SUBTLE,微妙的
SUCCEED#1,成功＃1
SUCCESS,成功
SUCCESSFUL,成功的
SUFFICE,滿足
SUFFICIENT,充足的
SUIT#3,適合＃3
SUIT#4,適合＃4
SUITABLE,合適的
SUMMIT,首腦
SUMPTUOUS,豪華
SUPER,極好的
SUPERIOR,優越的
SUPERIORITY,優勢
SUPERLATIVE,超級
SUPPORT#1,支持＃1
SUPPORT#2,支持＃2
SUPPORT#3,支持＃3
SUPPORT#4,支持＃4
SUPPORTIVE,支持
SUPREME#1,至高無上的＃1
SUPREME#2,至高無上的＃2
SURGE,湧
SURMISE,推測
SURMOUNT,超越
SURPASS,超過
SURVIVAL,生存
SURVIVE,存活
SURVIVOR,倖存者
SWEET#1,甜蜜＃1
SWEET#3,甜蜜＃3
SWEET#4,甜蜜＃4
SWEET#5,甜蜜＃5
SWEETEN,甜蜜
SWEETHEART,親愛的
SWEETNESS,甜蜜
SWIFTNESS,六
SWOON,昏厥
SWORN,宣揚
SYMBOLIZE,象徵
SYMMETRY,對稱
SYMPATHETIC,同情
SYMPATHIZE,同情
SYMPATHY,同情
SYNTHESIS,合成
TACT,t
TACTICS,策略
TALENT,天賦
TALENT,才華
TALENTED,才華橫溢的
TASTE#2,味道＃2
TEMPERANCE,temper
TEMPERATE,溫帶溫帶
TEMPT,誘惑
TENACIOUS,頑強
TENACITY,韌性
TENDERNESS,壓痛
TERRIFIC,了不起
THANK#1,謝謝＃1
THANK#2,謝謝＃2
THANK#3,謝謝＃3
THANKFUL,感謝
THERAPEUTIC,治療
THOROUGH,徹底
THOUGHTFUL,周到
THOUGHTFULNESS,思考
THRIFT,節約
THRIFTY,節儉
THRILL,刺激
THRIVE,蓬勃發展
TINGLE#1,Tingle＃1
TOGETHERNESS,統一
TOLERANCE,寬容
TOLERANT,寬容
TOLERATE,容忍
TOLERATION,容忍
TOPMOST,最高的
TRADITION,傳統
TRADITIONAL,傳統的
TRAIN#4,火車＃4
TRANQUIL,寧靜
TRANQUILITY,寧靜
TRAVEL#4,旅行＃4
TREASURE#1,寶藏＃1
TREASURE#2,寶藏＃2
TREAT#2,請客
TREATISE,論文
TREATY,條約
TREMENDOUS#1,巨大的＃1
TREMENDOUS#2,巨大的＃2
TRIBUTE,貢
TRIUMPH#1,勝利＃1
TRIUMPH#2,勝利＃2
TRIUMPHAL,凱旋
TRIUMPHANT,凱
TROPHY,杯
TRUE#1,真＃1
TRUE#2,真＃2
TRUE#3,真＃3.
TRUE#4,真＃4.
TRUE#5,真＃5.
TRUST#1,信任＃1
TRUST#2,信任＃2
TRUST#3,信任＃3
TRUST#4,信任＃4
TRUST#6,信任＃6
TRUST#7,信任＃7
TRUSTWORTHINESS,值得信賴
TRUSTWORTHY,值得信賴
TRUTH,真相
TRUTHFUL,真實
UNBOUND,un
UNBROKEN,un
UNCOMMON,罕見
UNDERSTAND#1,了解＃1
UNDERSTAND#2,了解＃2
UNDERSTANDABLE,可以理解
UNDERSTOOD,理解
UNDOUBTED,毫無疑問
UNDOUBTEDLY,無疑
UNFORGETTABLE,難忘
UNHURRIED,不緊秋節
UNIMPEACHABLE,無法揮霍
UNIQUE,獨特
UNITY,統一
UNLIMITED,無限
UNSELFISH,無私
UNTOUCHED,不起作用
UPBEAT,樂觀
UPFRONT,前期
UPGRADE,升級
UPHELD,堅持
UPHOLD,堅持
UPLIFT,隆起
UPPERMOST,最上面的
UPRIGHT,直立
UPSIDE,上行
UPWARD,向上
USABLE,可用
USEFUL,有用
USEFULNESS,用處
UTILITARIAN,功利主義者
UTILIZATION,利用
UTILIZE,利用
UTTERMOST,最大的
VALIANT,英勇
VALID,有效的
VALIDITY,有效性
VALOR,勇氣
VALUABLE,有價值的
VALUE#2,價值＃2
VALUE#3,價值＃3
VANQUISH,征服
VASTNESS,浩瀚
VENERABLE,可敬
VENERATE,ven
VERIFICATION,確認
VERIFY,核實
VERITABLE,合法的
VERSATILE,多才多藝的
VERSATILITY,多功能性
VIABILITY,可行性
VIABLE,可行的
VICTORIOUS,勝利
VIRTUE,美德
VIRTUOUS,賢
VISIONARY,有遠見的
VISUALIZATION,可視化
VITALITY,活力
VIVACIOUS,活潑
VIVID,生動
VOLUNTARY,自主性
VOUCHSAFE,vouchsafe.
WARM#1,溫暖＃1
WARM#2,溫暖＃2
WARM#3,溫暖＃3
WARM#4,溫暖＃4
WARM#5,溫暖＃5
WARMHEARTED,熱心
WARMTH,溫暖
WELCOME#1,歡迎＃1
WELCOME#2,歡迎＃2
WELCOME#3,歡迎＃3
WELCOME#5,歡迎＃5
WELFARE#1,福利＃1
WHIMSICAL,異想天開
WHOLESOME,健康
WILLFUL,故意
WILLING,願意的
WILLINGNESS,願意
WISDOM,智慧
WISE#1,明智的＃1
WISE#2,明智的＃2
WISE#3,聰明＃3
WISE#4,明智的＃4.
WISE#5,明智的＃5.
WITTY,機智
WONDER#1,奇蹟＃1
WONDERFUL,精彩的
WONDROUS,奇妙的
WORKABLE,可行的
WORKMANSHIP,做工
WORLD-FAMOUS,世界知名
WORTH#1,值得＃1
WORTH#2,值得＃2
WORTH#3,值得＃3
WORTH#4,值得＃4
WORTH-WHILE,值得
WORTHINESS,值得
WORTHY,值得
ZENITH,鼎盛
ZEST,熱情
A,看好
B,看多
C,利多
D,大漲
E,暴漲
F,漲
G,成長
H,正面
I,支撐
J,突破
K,有利
L,穩定
M,大好
N,獲利
O,賺錢
P,淨利
Q,機會
r,買進
s,買入
u,投資
v,信仰
w,信徒
x,財富
y,牛市
z,贏家
